invoiceidno,itemdescription,quantity,rate,msku,
7630,SBL Cholesterinum Trituration Tablet 6X,1,439.82,42454,
7631,SBL Colchicum Autumnale Mother Tincture Q 30ml,1,261.86,42244,
7632,Digitalis Purpurea,1,227.97,42132,
7633,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7634,Thuja Occ Dilution 30 CH (30ml),1,232.2,38665,
7635,SBL Hydrocotyle Asiatica Mother Tincture Q 30ml,1,227.97,42087,
7636,Pure Silver Varahi Devi Amman Idol - 114.3g Big,1,17696.61,901066,
7637,SBL Cholesterinum Trituration Tablet 6X,1,261.86,42454,
7638,Hydrangea Arborescens Dilution 30 CH,1,219.49,47080,
7639,SBL Syzygium Jambolanum Mother Tincture Q 30ml,1,227.97,42027,
7640,Calendula Officinalis,1,236.44,42042,
7641,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7642,Pure Silver Hanuman Idol 7.60g,1,1393.22,900082,
7643,SBL Iodium Dilution 30 CH,1,219.49,42816,
7644,Pure Silver Sugarcanes Groove 30g,1,4740.68,900145,
7645,SBL Fucus Vesiculosus Mother Tincture Q 30ml,1,261.86,42046,
7646,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7647,SBL Lecithinum Trituration Tablet 6X,1,261.86,42480,
7648,SBL Thuja Occidentalis Mother Tincture Q - 30ml,1,261.86,42033,
7649,SBL Thlaspi Bursa Pastoris Mother Tincture Q - 30ml,1,325.42,42107,
7650,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7651,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7652,Reckeweg Hepar sulphur 200,1,253.39,38658,
7653,Acidum Phosphoricum,1,617.79,42038,
7654,SBL Syzygium Jambolanum Mother Tincture Q 30ml,1,227.97,42027,
7655,Ruta Graveolens 200 CH,1,219.49,42656,
7656,Thuja Occ Dilution 30 CH (30ml),1,232.2,38665,
7657,Dr. Reckeweg Lycopodium Dilution 200 CH - 30ml,1,253.39,38640,
7658,Dr. Reckeweg Stram onium Dilution30 CH,1,232.2,38801,
7659,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7660,SBL Colchicum Autumnale Mother Tincture Q 30ml,1,219.91,42244,
7660,SBL Colocynthis Mother Tincture Q 30ml,1,198.73,42047,
7661,Iris Versicolor 200CH,1,236.44,43577,
7662,Rhus Tox Dilution 30 CH (11ml),1,232.2,38639,
7663,Sulphur Dilution 6 CH,2,177.54,42624,
7664,Prakruthi Pure Silver Lakshmi Devi Idol 5g 1 pcs |,1,1004.24,900496,
7665,Dr. Reckeweg Urtic a Urens Mother TinctureQ,1,338.13,38441,
7666,Dr. Reckeweg R59 Obesity and Slimming Drop,1,350.85,38348,
7667,SBL Iodium Dilution 30 CH,1,219.49,42816,
7668,Dr. Reckeweg Caust icum Dilution200 CH,1,253.39,38654,
7669,Brass Pan Dan 0.97Kg,1,3789.83,1021178,
7670,Lemna Minor,1,240.68,42072,
7671,SBL Curcuma Longa Mother Tincture Q - 30ml,1,227.97,42079,
7672,SBL Serum Anguillae (EEL Serum) Dilution 1000 CH - 30ml,2,219.92,42853,
7673,Helonias Dioica 200 CH,1,236.44,43068,
7674,Dr. Reckeweg Staphysagria Dilution 30 CH,1,232.2,38736,
7675,Rhus Tox Dilution 200 CH (11ml),1,253.39,38644,
7676,SBL Iodium Dilution 30 CH,5,152.37,42816,
7677,SBL Aurum Metallicum Dilution 200 CH - 30ml,1,236.44,42986,
7678,Allen Hernia Drop - 30ml,1,253.39,1024189,
7679,Calcarea Carbonica Dilution 200 CH (11ml),1,253.39,DRMM15,
7680,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7681,Lemna Minor,1,240.68,42072,
7682,Thiosinaminum 30 CH,1,219.49,42987,
7683,Mercurius Solubilis Dilution 200 CH (11ml),1,253.39,38689,
7684,Dr. Reckeweg Acid Fluor Dilution 6 CH - 30ml,1,232.2,41485,
7685,Mercurius Solubilis Dilution 200 CH (11ml),1,253.39,38689,
7686,Pure Silver Lalitha Idol 19g,1,3096.61,900941,
7687,Sulphur Dilution 6 CH,1,219.49,42624,
7688,SBL Cholesterinum Trituration Tablet 6X,1,219.92,42454,
7688,Chelidonium Majus,1,219.92,1024481,
7689,Chelidonium Majus,1,261.86,1024481,
7690,Hydrangea Arboresces,1,236.44,42075,
7691,Chelidonium Majus,1,261.86,1024481,
7692,Acidum Phosphoricum,2,219.91,42038,
7693,Carduus Marianus 200 CH,1,236.44,45824,
